Genes,lb,mle,ub,ce,Z,cZ,p_value
GLUL,0.33338811,0.75770025,1.182012389,0.33338811,3.894685769,2.440157039,4.92E-05
ACOT7,0.27277209,0.75770025,1.242628409,0.27277209,3.144142288,1.630343267,0.000832872
OXSM,0.09092403,0.75770025,1.363860449,0.09092403,2.267627388,0.725677004,0.011675963
DEGS2,0.06061602,0.75770025,1.333552439,0.06061602,2.199405183,0.660338964,0.013924562
GBE1,0.03030801,0.75770025,1.363860449,0.03030801,2.052362942,0.503452449,0.020067202
STS,0,0.75770025,1.394168459,0,1.991007126,0.450398987,0.023240052
CP,0,0.72739224,1.454784479,0,2.032217937,0.487429645,0.021065799
SGPP2,-0.03030801,0.72739224,1.485092489,0,1.917781043,0.369767459,0.02756939
SAT1,0.33338811,0.69708423,1.000164329,0.33338811,4.282884672,2.898716688,9.22E-06
CTSA,0.36369612,0.69708423,1.030472339,0.36369612,4.059848017,2.638419166,2.46E-05
SMPD2,0.09092403,0.69708423,1.303244429,0.09092403,2.301377519,0.772783724,0.010685151
DCTD,0.09092403,0.69708423,1.242628409,0.09092403,2.28788462,0.752591537,0.011072121
TCIRG1,0,0.69708423,1.424476469,0,2.046332779,0.499034104,0.02036182
RDH10,-0.03030801,0.69708423,1.333552439,0,1.943186083,0.393763571,0.025996839
TPK1,-0.03030801,0.69708423,3.121725028,0,1.94277266,0.393514889,0.026021816
C1GALT1,-0.03030801,0.69708423,1.697248559,0,1.902618236,0.353064403,0.028545189
SLC6A14,0,0.66677622,1.363860449,0,2.019387775,0.47748356,0.021723466
PLCD1,-0.06061602,0.66677622,1.394168459,0,1.853550253,0.300213655,0.031901765
ITPKC,0.03030801,0.63646821,1.212320399,0.03030801,2.151535775,0.610121128,0.015716968
EXT1,0.03030801,0.63646821,1.212320399,0.03030801,2.107253279,0.561925298,0.017547815
RDH13,-0.03030801,0.63646821,1.303244429,0,1.878269281,0.325170946,0.030172168
FMO5,-0.06061602,0.63646821,1.272936419,0,1.842793704,0.28832156,0.032679568
PIGL,-0.06061602,0.63646821,1.394168459,0,1.821694767,0.267797292,0.034250656
PIP5K1B,-0.09092403,0.63646821,1.424476469,0,1.780082256,0.227779638,0.03753125
SPHK1,-0.12123204,0.63646821,1.272936419,0,1.670877354,0.124246588,0.047372953
NAGK,0.21215607,0.6061602,0.969856319,0.21215607,3.149460683,1.631052749,0.000817861
AMDHD2,0.09092403,0.6061602,1.091088359,0.09092403,2.332799588,0.798678852,0.009829333
INPP5A,-0.03030801,0.6061602,1.212320399,0,1.898656081,0.34993294,0.028804855
PFKFB4,-0.06061602,0.6061602,1.424476469,0,1.786868666,0.234343442,0.036979359
FCSK,-0.09092403,0.6061602,1.272936419,0,1.765381255,0.21710915,0.038749856
SLC27A6,-0.15154005,0.6061602,1.636632539,0,1.620524989,0.073827814,0.052559775
PNPLA4,-0.03030801,0.57585219,1.182012389,0,1.917285152,0.369767459,0.027600858
DGAT1,-0.06061602,0.57585219,1.182012389,0,1.788200115,0.23621243,0.036871864
ARSA,-0.09092403,0.57585219,1.182012389,0,1.767845185,0.219487121,0.038543394
A4GALT,-0.12123204,0.57585219,1.333552439,0,1.681299213,0.133085485,0.046352405
SLC9A7,-0.36369612,0.57585219,3.303573088,0,1.302197862,0,0.096424378
LDHA,0.24246408,0.54554418,0.84862428,0.24246408,3.796880742,2.3330203,7.33E-05
RFK,0.03030801,0.54554418,1.030472339,0.03030801,2.079427179,0.536302476,0.018789052
CA12,-0.06061602,0.54554418,1.060780349,0,1.816456551,0.260191511,0.034650184
AHCYL2,-0.09092403,0.54554418,1.151704379,0,1.732375871,0.187413476,0.041603331
ETHE1,-0.12123204,0.54554418,1.121396369,0,1.609623064,0.066237044,0.053740085
DGAT2,-0.18184806,0.54554418,1.272936419,0,1.52951113,0,0.063068891
GANC,-0.21215607,0.54554418,3.242957068,0,1.52062189,0,0.064177375
ST6GALNAC6,-0.18184806,0.54554418,1.394168459,0,1.484311293,0,0.068863178
PGAM1,-0.18184806,0.54554418,1.242628409,0,1.463322569,0,0.071689567
PGS1,-0.21215607,0.54554418,1.242628409,0,1.430709093,0,0.076256803
SLC11A2,0.06061602,0.51523617,0.93954831,0.06061602,2.362539134,0.839261349,0.009075113
FADS1,0.09092403,0.51523617,0.9092403,0.09092403,2.360028052,0.83675142,0.009136777
OGDH,0,0.51523617,1.060780349,0,2.025842403,0.484390858,0.021390469
UXS1,-0.06061602,0.51523617,1.060780349,0,1.784177853,0.232156516,0.037197385
MAN1B1,-0.09092403,0.51523617,1.121396369,0,1.6915047,0.143652579,0.045370225
ACP2,-0.12123204,0.51523617,1.182012389,0,1.650739377,0.099898755,0.049395902
PHYH,-0.12123204,0.51523617,1.091088359,0,1.617321123,0.069617801,0.052904491
UST,-0.18184806,0.51523617,1.182012389,0,1.454226205,0,0.072941801
MAOB,-0.21215607,0.51523617,1.939712639,0,1.42435552,0,0.077171792
ATP6V1G1,0.24246408,0.48492816,0.72739224,0.24246408,4.249304733,2.863076903,1.07E-05
CYP1B1,0.09092403,0.48492816,0.9092403,0.09092403,2.596895256,1.07492545,0.00470353
MGAT2,0.09092403,0.48492816,0.84862428,0.09092403,2.448154041,0.921949885,0.007179513
SLC25A4,-0.06061602,0.48492816,1.000164329,0,1.739417336,0.191295361,0.040980691
SLCO4A1,-0.21215607,0.48492816,1.182012389,0,1.425788693,0,0.076964673
GGT6,-0.18184806,0.48492816,1.091088359,0,1.42411847,0,0.07720609
ECHDC2,-0.21215607,0.48492816,1.091088359,0,1.40448819,0,0.080086763
CEPT1,-0.24246408,0.48492816,1.121396369,0,1.304544668,0,0.09602397
HMOX1,-0.39400413,0.48492816,1.212320399,0,1.124087873,0,0.130487875
KYAT1,-0.81831627,0.48492816,3.303573088,0,0.999486378,0,0.158779567
PPA1,0.18184806,0.45462015,0.72739224,0.18184806,3.430575716,1.93114241,0.000301151
NDUFA1,0.09092403,0.45462015,0.75770025,0.09092403,2.675651196,1.15530183,0.003729211
GPD2,0,0.45462015,0.9092403,0,2.065929433,0.524371501,0.019417572
MAN2A2,-0.12123204,0.45462015,0.969856319,0,1.565738471,0.029568154,0.058704928
CHST11,-0.18184806,0.45462015,1.060780349,0,1.427567103,0,0.076708249
SLC25A18,-0.21215607,0.45462015,1.151704379,0,1.407570718,0,0.079629112
PDE6D,-0.18184806,0.45462015,1.091088359,0,1.405706545,0,0.079905641
SGSH,-0.18184806,0.45462015,1.091088359,0,1.39264023,0,0.081864306
SLC25A26,-0.21215607,0.45462015,1.091088359,0,1.386397963,0,0.082812709
ALAD,-0.21215607,0.45462015,1.060780349,0,1.379715267,0,0.083837165
NMNAT2,-0.24246408,0.45462015,1.121396369,0,1.283609236,0,0.099639358
IDUA,-0.27277209,0.45462015,1.091088359,0,1.260798483,0,0.10369073
TYMP,-0.27277209,0.45462015,1.121396369,0,1.259338247,0,0.103954092
GAMT,-0.27277209,0.45462015,1.091088359,0,1.253969316,0,0.104926579
FUT3,-0.33338811,0.45462015,1.242628409,0,1.143357523,0,0.12644509
AHCYL1,0.12123204,0.42431214,0.72739224,0.12123204,2.762755582,1.233930317,0.002865783
PDXK,0.09092403,0.42431214,0.69708423,0.09092403,2.741266413,1.219442692,0.003060143
ATP6V1F,0.09092403,0.42431214,0.72739224,0.09092403,2.578027315,1.053273394,0.004968307
PIK3R3,0.06061602,0.42431214,0.75770025,0.06061602,2.541010364,1.007876526,0.005526632
LAP3,0.03030801,0.42431214,0.81831627,0.03030801,2.251464023,0.705560472,0.012178082
HEXA,0,0.42431214,0.78800826,0,1.988862641,0.447417179,0.023358183
CAT,0,0.42431214,0.78800826,0,1.961627332,0.413677893,0.024902944
NSF,-0.09092403,0.42431214,0.87893229,0,1.692755343,0.1446795,0.045251023
P4HA2,-0.09092403,0.42431214,0.9092403,0,1.646802219,0.095519671,0.049799353
PLPP2,-0.15154005,0.42431214,1.030472339,0,1.42410593,0,0.077207905
NAGLU,-0.18184806,0.42431214,1.000164329,0,1.4059754,0,0.079865715
EXTL2,-0.3030801,0.42431214,1.212320399,0,1.223185892,0,0.110629746
PLCB1,-0.27277209,0.42431214,1.000164329,0,1.182834454,0,0.118437381
PLPP3,-0.27277209,0.42431214,1.091088359,0,1.176687112,0,0.119660207
ATP6V1B1,-0.33338811,0.42431214,1.182012389,0,1.161194393,0,0.122781427
MAOA,-0.33338811,0.42431214,1.182012389,0,1.150871942,0,0.124892461
SPTLC1,-0.39400413,0.42431214,1.303244429,0,1.100582465,0,0.13553921
SULT1A2,-0.45462015,0.42431214,1.182012389,0,0.914641038,0,0.180190054
GAPDH,0.12123204,0.39400413,0.6061602,0.12123204,3.27051741,1.770217048,0.000536755
NEU1,0.03030801,0.39400413,0.72739224,0.03030801,2.350471305,0.824585591,0.009374827
MSMO1,0.03030801,0.39400413,0.78800826,0.03030801,2.311253089,0.781188189,0.01040944
GCH1,-0.06061602,0.39400413,0.81831627,0,1.740290572,0.191818046,0.040904004
UEVLD,-0.15154005,0.39400413,0.87893229,0,1.440745194,0,0.074828341
SGMS1,-0.15154005,0.39400413,0.87893229,0,1.418152761,0,0.078073085
FAH,-0.21215607,0.39400413,0.93954831,0,1.295589386,0,0.097558494
FUT1,-0.24246408,0.39400413,1.000164329,0,1.209338565,0,0.1132664
HSD17B7,-0.27277209,0.39400413,1.030472339,0,1.192402033,0,0.116551822
DHODH,-0.3030801,0.39400413,1.030472339,0,1.150307583,0,0.125008604
PRPS1,-0.33338811,0.39400413,1.060780349,0,1.075978069,0,0.140968532
MGLL,-0.33338811,0.39400413,1.060780349,0,1.047495204,0,0.147435621
MLYCD,-0.36369612,0.39400413,1.030472339,0,1.021187056,0,0.153582912
PGGHG,-2.758028909,0.39400413,3.546037168,0,0.931094096,0,0.175902446
ATP6V1E1,0.03030801,0.36369612,0.63646821,0.03030801,2.24274412,0.694962888,0.01245666
PPCS,0,0.36369612,0.66677622,0,2.071356618,0.528083631,0.019162741
MGAT4B,-0.03030801,0.36369612,0.75770025,0,1.902109669,0.352808384,0.028578409
CDIPT,-0.03030801,0.36369612,0.72739224,0,1.83492644,0.279248028,0.033258295
LIPA,-0.06061602,0.36369612,0.69708423,0,1.767545137,0.219487121,0.038568488
UCP2,-0.09092403,0.36369612,0.75770025,0,1.632899771,0.080288815,0.051245039
COMTD1,-0.09092403,0.36369612,0.78800826,0,1.596161138,0.050663962,0.055226411
B3GNT2,-0.15154005,0.36369612,0.81831627,0,1.432121126,0,0.07605458
HS2ST1,-0.24246408,0.36369612,0.93954831,0,1.175703896,0,0.119856611
CBR3,-0.27277209,0.36369612,0.969856319,0,1.147870174,0,0.125511081
SRD5A1,-0.27277209,0.36369612,0.969856319,0,1.124043781,0,0.130497227
ABCC3,-0.27277209,0.36369612,0.93954831,0,1.117314675,0,0.131929902
UROD,-0.3030801,0.36369612,0.93954831,0,1.101809871,0,0.135272169
NANP,-0.33338811,0.36369612,1.030472339,0,1.041379584,0,0.148849707
PFKFB3,-0.36369612,0.36369612,1.121396369,0,1.012818574,0,0.155573413
GBA,-0.39400413,0.36369612,1.212320399,0,1.009167313,0,0.1564472
DOT1L,-0.39400413,0.36369612,1.151704379,0,0.979305802,0,0.163714452
SLC20A2,-0.36369612,0.36369612,1.000164329,0,0.972473292,0,0.165407573
SPHK2,-0.45462015,0.36369612,1.212320399,0,0.906055619,0,0.182453207
P4HB,0.09092403,0.33338811,0.51523617,0.09092403,2.922588217,1.41138911,0.001735676
FUCA2,0,0.33338811,0.57585219,0,2.166189948,0.627227689,0.015148337
UQCRFS1,0,0.33338811,0.63646821,0,2.092534879,0.54695455,0.018195348
ATP5MC1,0,0.33338811,0.6061602,0,2.068022087,0.526467989,0.019318973
NANS,0,0.33338811,0.63646821,0,2.058813574,0.513891368,0.01975605
AK2,0,0.33338811,0.63646821,0,2.046331403,0.499034104,0.020361888
ADH5,0,0.33338811,0.63646821,0,2.009041777,0.468560269,0.022266352
TXNRD1,-0.03030801,0.33338811,0.63646821,0,1.840462709,0.28492596,0.032850167
HMGCS1,-0.03030801,0.33338811,0.69708423,0,1.799946844,0.245875117,0.035934516
GAA,-0.06061602,0.33338811,0.66677622,0,1.75821488,0.209463963,0.039355477
NDUFA13,-0.06061602,0.33338811,0.66677622,0,1.731872737,0.187403549,0.041648112
SDHD,-0.09092403,0.33338811,0.72739224,0,1.624439541,0.075751994,0.052141017
NUDT5,-0.09092403,0.33338811,0.69708423,0,1.616672552,0.069249834,0.052974491
B3GAT3,-0.09092403,0.33338811,0.72739224,0,1.604450813,0.059134462,0.054307359
SAT2,-0.09092403,0.33338811,0.72739224,0,1.587028437,0.042377484,0.056253102
GLRX2,-0.09092403,0.33338811,0.72739224,0,1.576171819,0.034961978,0.057493106
NT5C3A,-0.12123204,0.33338811,0.78800826,0,1.511141031,0,0.065376261
NDUFS4,-0.12123204,0.33338811,0.78800826,0,1.489935948,0,0.068120539
NDUFB3,-0.15154005,0.33338811,0.81831627,0,1.407389015,0,0.079656033
PEMT,-0.15154005,0.33338811,0.75770025,0,1.401510557,0,0.080530726
P4HA1,-0.15154005,0.33338811,0.78800826,0,1.376303582,0,0.084363832
SLC22A5,-0.15154005,0.33338811,0.81831627,0,1.35838944,0,0.087170072
AACS,-0.18184806,0.33338811,0.78800826,0,1.328353902,0,0.09203061
PIGO,-0.24246408,0.33338811,0.87893229,0,1.182027835,0,0.118597328
KDSR,-0.24246408,0.33338811,0.9092403,0,1.113320955,0,0.132785305
HMGCL,-0.27277209,0.33338811,0.93954831,0,1.092810903,0,0.137238417
HIBADH,-0.3030801,0.33338811,0.9092403,0,1.080115006,0,0.140045485
ITPKB,-0.3030801,0.33338811,0.969856319,0,1.070133901,0,0.142279521
NME7,-0.3030801,0.33338811,0.969856319,0,1.053075039,0,0.146153301
PMM1,-0.33338811,0.33338811,0.93954831,0,0.998773957,0,0.158952102
GALK1,-0.3030801,0.33338811,0.9092403,0,0.992540233,0,0.160467032
MMAA,-0.36369612,0.33338811,1.030472339,0,0.977524895,0,0.164154679
PFKM,-0.36369612,0.33338811,0.93954831,0,0.952466656,0,0.170430184
PLOD2,-0.36369612,0.33338811,1.000164329,0,0.934876196,0,0.174926053
CYP4V2,-0.36369612,0.33338811,1.000164329,0,0.928082499,0,0.176682388
PIGW,-0.39400413,0.33338811,0.969856319,0,0.908227968,0,0.181878895
ST3GAL5,-0.42431214,0.33338811,1.030472339,0,0.904349762,0,0.182904984
SLC6A8,-0.42431214,0.33338811,1.060780349,0,0.880250959,0,0.189361686
XYLB,-3.000492988,0.33338811,1.242628409,0,0.580985467,0,0.280625124
ABCD1,-3.182341048,0.33338811,2.970184978,0,0.57379825,0,0.283052166
UQCRQ,0.03030801,0.3030801,0.57585219,0.03030801,2.29666079,0.766703245,0.010819064
PGK1,0,0.3030801,0.54554418,0,2.172894052,0.634919401,0.014894146
PTEN,-0.03030801,0.3030801,0.6061602,0,1.915661259,0.367414286,0.027704113
SLC52A2,-0.03030801,0.3030801,0.6061602,0,1.865089705,0.312456014,0.031084416
PIGT,-0.03030801,0.3030801,0.63646821,0,1.857898658,0.304173602,0.031591703
CHPF,-0.06061602,0.3030801,0.66677622,0,1.75634143,0.207845871,0.039515064
ATP6V1H,-0.06061602,0.3030801,0.6061602,0,1.730200066,0.185833487,0.041797268
PAFAH1B1,-0.12123204,0.3030801,0.63646821,0,1.481240047,0,0.069271309
PTS,-0.12123204,0.3030801,0.63646821,0,1.417647391,0,0.078146868
TPP1,-0.12123204,0.3030801,0.72739224,0,1.409485777,0,0.079345788
SLC12A7,-0.18184806,0.3030801,0.75770025,0,1.258547388,0,0.10409693
SLC35C1,-0.21215607,0.3030801,0.81831627,0,1.202057775,0,0.114670572
ACOT4,-0.21215607,0.3030801,0.81831627,0,1.153889859,0,0.124272664
MCEE,-0.24246408,0.3030801,0.84862428,0,1.136788381,0,0.127813381
MPI,-0.24246408,0.3030801,0.81831627,0,1.063091157,0,0.143870307
SLC25A13,-0.3030801,0.3030801,0.87893229,0,0.997396548,0,0.159286033
MTHFD2L,-0.3030801,0.3030801,0.969856319,0,0.976529623,0,0.164401038
CNP,-0.33338811,0.3030801,0.87893229,0,0.962752586,0,0.16783585
DGKA,-0.72739224,0.3030801,3.515729158,0,0.941861395,0,0.173131804
ATP5MGL,-0.33338811,0.3030801,0.84862428,0,0.933782591,0,0.175208026
EHHADH,-0.36369612,0.3030801,1.000164329,0,0.907097352,0,0.182177659
FUCA1,-0.33338811,0.3030801,0.93954831,0,0.898933176,0,0.184344128
SLC46A1,-0.42431214,0.3030801,1.030472339,0,0.849639788,0,0.197762692
B3GNT3,-0.39400413,0.3030801,0.969856319,0,0.842825903,0,0.199662909
PLD1,-0.39400413,0.3030801,0.93954831,0,0.824193395,0,0.20491484
CHST7,-0.42431214,0.3030801,0.9092403,0,0.82190882,0,0.205564397
ABCC1,-0.39400413,0.3030801,1.000164329,0,0.802332208,0,0.211180408
ENTPD5,-0.42431214,0.3030801,0.9092403,0,0.794660073,0,0.213405632
ALDH3B1,-0.48492816,0.3030801,1.242628409,0,0.761377761,0,0.223215733
SETDB2,-0.45462015,0.3030801,0.969856319,0,0.736548994,0,0.230698331
PCCA,-0.54554418,0.3030801,1.060780349,0,0.675371043,0,0.249720029
SLC2A13,-2.818644929,0.3030801,2.758028909,0,0.430644604,0,0.333363402
MGST1,0.03030801,0.27277209,0.51523617,0.03030801,2.213849286,0.676604675,0.013419574
DHCR7,0,0.27277209,0.57585219,0,2.017765807,0.476808252,0.021807829
ATP6V0E1,0,0.27277209,0.54554418,0,1.994427878,0.454735887,0.023052657
GNS,-0.03030801,0.27277209,0.54554418,0,1.922457691,0.373758446,0.027274096
ESD,-0.03030801,0.27277209,0.54554418,0,1.798683573,0.245875117,0.036034374
RDH11,-0.03030801,0.27277209,0.54554418,0,1.788404157,0.23621243,0.036855413
GSTK1,-0.06061602,0.27277209,0.57585219,0,1.64713614,0.095519671,0.049765033
SCP2,-0.06061602,0.27277209,0.57585219,0,1.624996294,0.075986377,0.052081674
IDI1,-0.09092403,0.27277209,0.63646821,0,1.501182114,0,0.066654232
PFKL,-0.09092403,0.27277209,0.57585219,0,1.492797846,0,0.067745056
HEXB,-0.12123204,0.27277209,0.63646821,0,1.439322746,0,0.075029551
PGLS,-0.12123204,0.27277209,0.63646821,0,1.322645453,0,0.092976656
HAGH,-0.18184806,0.27277209,0.66677622,0,1.193684463,0,0.11630071
CHKA,-0.21215607,0.27277209,0.69708423,0,1.091192549,0,0.137594083
ENTPD6,-0.24246408,0.27277209,0.75770025,0,1.057725323,0,0.145090344
ACYP2,-0.24246408,0.27277209,0.78800826,0,1.046053047,0,0.147768271
PIGP,-0.24246408,0.27277209,0.72739224,0,1.026918943,0,0.152229317
PIK3R2,-0.27277209,0.27277209,0.75770025,0,0.990189687,0,0.161040706
SDSL,-0.3030801,0.27277209,0.81831627,0,0.921946637,0,0.178278205
GALNT11,-0.33338811,0.27277209,0.9092403,0,0.895012195,0,0.185390284
UGCG,-0.33338811,0.27277209,0.84862428,0,0.894828658,0,0.185439344
CA5B,-0.33338811,0.27277209,0.84862428,0,0.867832869,0,0.192742917
UAP1L1,-0.36369612,0.27277209,0.93954831,0,0.858856856,0,0.195209748
TDO2,-0.39400413,0.27277209,0.84862428,0,0.849128403,0,0.197904924
B3GAT2,-0.39400413,0.27277209,0.87893229,0,0.835250771,0,0.201788264
EXTL3,-0.42431214,0.27277209,1.121396369,0,0.812652481,0,0.208208666
SLC24A1,-0.36369612,0.27277209,0.87893229,0,0.79914006,0,0.212104601
MGAT5,-0.42431214,0.27277209,0.969856319,0,0.779208627,0,0.217928414
DBT,-0.42431214,0.27277209,0.9092403,0,0.772471328,0,0.219917661
HACL1,-0.45462015,0.27277209,0.93954831,0,0.756882775,0,0.224560048
ABCA3,-0.42431214,0.27277209,0.84862428,0,0.751554411,0,0.226159534
AUH,-0.42431214,0.27277209,0.9092403,0,0.746797522,0,0.227592896
ADSS1,-0.45462015,0.27277209,0.87893229,0,0.730541153,0,0.232529734
SUOX,-0.48492816,0.27277209,1.000164329,0,0.722559252,0,0.234975355
SLC25A21,-0.45462015,0.27277209,0.969856319,0,0.70280994,0,0.241087101
ENGASE,-3.424805128,0.27277209,1.000164329,0,0.10840343,0,0.45683784
TPI1,-0.03030801,0.24246408,0.48492816,0,1.725128631,0.181236414,0.042252147
GFPT1,-0.03030801,0.24246408,0.48492816,0,1.725093422,0.181236414,0.042255319
ATP6V0B,-0.06061602,0.24246408,0.51523617,0,1.656594274,0.107715131,0.048800765
COX5B,-0.06061602,0.24246408,0.51523617,0,1.59281242,0.047417199,0.055601139
ASAH1,-0.06061602,0.24246408,0.51523617,0,1.559730411,0.02674715,0.059411801
ECI1,-0.09092403,0.24246408,0.57585219,0,1.419839133,0,0.07782726
MOGS,-0.12123204,0.24246408,0.57585219,0,1.340050947,0,0.090114391
NDUFA2,-0.12123204,0.24246408,0.57585219,0,1.332408809,0,0.091362944
COX7B,-0.12123204,0.24246408,0.54554418,0,1.31243707,0,0.094686353
PIP4K2C,-0.12123204,0.24246408,0.57585219,0,1.26859945,0,0.10229198
SLC9A1,-0.15154005,0.24246408,0.6061602,0,1.209490235,0,0.11323728
B4GALT1,-0.18184806,0.24246408,0.6061602,0,1.176555048,0,0.119686574
ALDH3B2,-0.18184806,0.24246408,0.57585219,0,1.162216948,0,0.122573676
ENPP1,-0.18184806,0.24246408,0.6061602,0,1.111634442,0,0.133147679
GPT2,-0.18184806,0.24246408,0.6061602,0,1.099468856,0,0.135781806
GCLC,-0.18184806,0.24246408,0.6061602,0,1.075817437,0,0.141004456
RDH14,-0.21215607,0.24246408,0.72739224,0,1.064886877,0,0.143463562
HAGHL,-0.21215607,0.24246408,0.6061602,0,0.995224433,0,0.15981356
NDUFA6,-0.24246408,0.24246408,0.66677622,0,0.966207768,0,0.166970113
NDUFA12,-0.24246408,0.24246408,0.72739224,0,0.931072346,0,0.175908071
SLC8A1,-0.33338811,0.24246408,0.81831627,0,0.843102533,0,0.199585551
DEGS1,-0.36369612,0.24246408,0.75770025,0,0.770145548,0,0.22060678
ST3GAL2,-0.42431214,0.24246408,3.485421148,0,0.757807038,0,0.224283254
NDUFA9,-0.36369612,0.24246408,0.81831627,0,0.756674793,0,0.22462236
OCRL,-0.39400413,0.24246408,0.81831627,0,0.732116498,0,0.232048732
SLC2A11,-0.39400413,0.24246408,0.81831627,0,0.706922994,0,0.239807167
XYLT2,-0.42431214,0.24246408,0.84862428,0,0.699558195,0,0.242101629
INPP4A,-0.45462015,0.24246408,0.84862428,0,0.696896613,0,0.242933749
SLC13A3,-0.48492816,0.24246408,0.9092403,0,0.667190579,0,0.252325204
GALNT14,-0.72739224,0.24246408,3.000492988,0,0.666932863,0,0.252407509
ETFDH,-0.45462015,0.24246408,0.969856319,0,0.660629639,0,0.254424928
PLPP1,-0.48492816,0.24246408,0.969856319,0,0.659487722,0,0.254791314
CHST12,-0.48492816,0.24246408,0.87893229,0,0.634092415,0,0.263010256
B3GALNT1,-0.45462015,0.24246408,0.87893229,0,0.620970725,0,0.267309442
PAFAH2,-0.48492816,0.24246408,0.87893229,0,0.599784592,0,0.274324902
TXNRD3,-0.54554418,0.24246408,0.9092403,0,0.583903266,0,0.279642698
SLC4A7,-0.54554418,0.24246408,0.969856319,0,0.578670545,0,0.281405747
PHEX,-0.54554418,0.24246408,0.9092403,0,0.568731907,0,0.284769046
PNPLA3,-0.66677622,0.24246408,1.030472339,0,0.494796258,0,0.310371973
PKM,-0.03030801,0.21215607,0.45462015,0,1.847840293,0.29283934,0.032312725
AKR1A1,-0.09092403,0.21215607,0.48492816,0,1.47683514,0,0.069859917
ACADVL,-0.09092403,0.21215607,0.48492816,0,1.358689934,0,0.087122432
PGD,-0.09092403,0.21215607,0.48492816,0,1.322291104,0,0.093035617
PGM3,-0.12123204,0.21215607,0.51523617,0,1.246985784,0,0.106201355
NAA10,-0.12123204,0.21215607,0.48492816,0,1.240051875,0,0.107478104
BLVRB,-0.12123204,0.21215607,0.48492816,0,1.228223879,0,0.109681469
SLC7A11,-0.15154005,0.21215607,0.57585219,0,1.18000074,0,0.11899996
