Genes,lb,mle,ub,ce,Z,cZ,p_value
BDH1,-0.181854455,0.303090759,0.727417821,0,1.289929204,0,0.09853762
HPRT1,-0.212163531,0.303090759,0.727417821,0,1.230607972,0,0.109234761
ALG10,-0.303090759,0.303090759,3.909870791,0,1.230564653,0,0.109242866
SLC6A9,-0.181854455,0.303090759,0.757726897,0,1.223320276,0,0.110604376
ACACB,-0.242472607,0.303090759,0.939581353,0,1.212905012,0,0.11258307
TK2,-0.454636138,0.303090759,3.364307424,0,1.206881126,0,0.113738964
ALDH6A1,-0.212163531,0.303090759,0.727417821,0,1.195276805,0,0.115989449
NADK2,-0.363708911,0.303090759,0.848654125,0,0.920786187,0,0.178581034
UMPS,-0.363708911,0.303090759,0.788035973,0,0.90215579,0,0.183487058
SLCO3A1,-0.394017987,0.303090759,1.03050858,0,0.862939414,0,0.194085389
PFKFB2,-0.394017987,0.303090759,0.878963201,0,0.842385785,0,0.199786024
ZADH2,-0.424327063,0.303090759,0.969890429,0,0.811942064,0,0.208412438
UPP1,-0.424327063,0.303090759,0.969890429,0,0.792689519,0,0.213979369
NNT,-0.454636138,0.303090759,0.909272277,0,0.74247258,0,0.22890053
EHMT1,-0.484945214,0.303090759,0.939581353,0,0.722391759,0,0.235026826
NAGA,-0.545563366,0.303090759,1.151744884,0,0.673205823,0,0.250408179
TMEM91,-3.303689273,0.303090759,0.909272277,0,0.069836313,0,0.472161972
ODC1,-0.090927228,0.272781683,0.575872442,0,1.553456337,0.192587556,0.060157076
SMS,-0.090927228,0.272781683,0.606181518,0,1.476315573,0.128608935,0.069929598
UQCRC1,-0.242472607,0.272781683,0.727417821,0,1.068710074,0,0.142600165
SLC27A2,-0.272781683,0.272781683,0.727417821,0,1.046329204,0,0.147704533
ALDH3A2,-0.272781683,0.272781683,0.727417821,0,1.012625379,0,0.155619566
MTHFS,-0.272781683,0.272781683,0.727417821,0,0.97906904,0,0.163772934
MCCC1,-0.333399835,0.272781683,0.818345049,0,0.887031683,0,0.187530921
DGKZ,-0.333399835,0.272781683,0.848654125,0,0.859052247,0,0.195155846
PLCH1,-0.545563366,0.272781683,3.940179866,0,0.852228084,0,0.197043756
QDPR,-0.394017987,0.272781683,0.909272277,0,0.797929918,0,0.21245558
BCKDHB,-0.394017987,0.272781683,0.939581353,0,0.794288677,0,0.213513697
PANK1,-0.424327063,0.272781683,0.969890429,0,0.747097073,0,0.227502484
SLC16A2,-0.454636138,0.272781683,1.000199505,0,0.726319,0,0.233821617
GALT,-0.545563366,0.272781683,1.242672112,0,0.714207925,0,0.237549309
DERA,-0.424327063,0.272781683,0.818345049,0,0.71387221,0,0.237653102
GCAT,-0.484945214,0.272781683,1.060817656,0,0.69097776,0,0.244789759
PCBD2,-0.51525429,0.272781683,1.000199505,0,0.664676261,0,0.25312879
GCSH,-0.51525429,0.272781683,1.000199505,0,0.656259501,0,0.255828585
CYP4B1,-0.575872442,0.272781683,1.060817656,0,0.649293933,0,0.258074203
ALG6,-0.545563366,0.272781683,0.969890429,0,0.607225237,0,0.271850723
COX8A,-0.030309076,0.242472607,0.484945214,0,1.916454762,0.557580382,0.027653618
PRDX1,-0.060618152,0.242472607,0.51525429,0,1.620298492,0.249911078,0.052584086
AHCY,-0.060618152,0.242472607,0.575872442,0,1.605081048,0.236343546,0.054237985
CS,-0.090927228,0.242472607,0.51525429,0,1.438366348,0.100405569,0.075165068
ALDH18A1,-0.121236304,0.242472607,0.575872442,0,1.360399127,0.037394978,0.086851827
PYCR2,-0.151545379,0.242472607,0.636490594,0,1.247258976,0,0.106151277
COMT,-0.151545379,0.242472607,0.545563366,0,1.197249014,0,0.115604755
NDUFS3,-0.181854455,0.242472607,0.606181518,0,1.14882854,0,0.125313344
DLAT,-0.181854455,0.242472607,0.66679967,0,1.107987647,0,0.133933575
PI4KB,-0.181854455,0.242472607,0.606181518,0,1.101885526,0,0.135255721
ALDH1L2,-0.212163531,0.242472607,0.697108746,0,1.096563697,0,0.136416082
SPTLC2,-0.212163531,0.242472607,0.66679967,0,1.075569279,0,0.141059967
PDHA1,-0.212163531,0.242472607,0.697108746,0,1.025063079,0,0.152666712
PAFAH1B3,-0.242472607,0.242472607,0.66679967,0,1.005734968,0,0.157271539
ADSS2,-0.303090759,0.242472607,0.757726897,0,0.889468371,0,0.186875707
PC,-0.303090759,0.242472607,0.818345049,0,0.835560065,0,0.201701221
UAP1,-0.394017987,0.242472607,0.788035973,0,0.741221421,0,0.229279599
ENTPD2,-0.484945214,0.242472607,2.485344223,0,0.711304762,0,0.238447701
KHK,-0.424327063,0.242472607,0.848654125,0,0.699550606,0,0.242103999
MAT2A,-0.424327063,0.242472607,0.818345049,0,0.686747006,0,0.246121085
FADS2,-0.454636138,0.242472607,0.878963201,0,0.676752666,0,0.249281448
PIK3R1,-0.424327063,0.242472607,0.818345049,0,0.674901765,0,0.24986909
EXT2,-0.454636138,0.242472607,0.878963201,0,0.669068926,0,0.251725755
PPT2,-0.454636138,0.242472607,0.909272277,0,0.664292549,0,0.253251545
SUOX,-0.484945214,0.242472607,1.03050858,0,0.645879744,0,0.259178619
GK,-0.484945214,0.242472607,0.909272277,0,0.638022202,0,0.261729614
SLC36A4,-0.545563366,0.242472607,1.03050858,0,0.628977986,0,0.264681734
PNPLA3,-0.545563366,0.242472607,1.03050858,0,0.621741532,0,0.267055919
ATP2B4,-0.545563366,0.242472607,0.969890429,0,0.581718615,0,0.280378115
PGM2,-0.545563366,0.242472607,0.909272277,0,0.577447923,0,0.281818454
FOLR1,-0.545563366,0.242472607,0.969890429,0,0.560656404,0,0.287515896
GCNT2,-0.757726897,0.242472607,1.18205396,0,0.513712506,0,0.303726504
SLC26A6,-3.121834817,0.242472607,1.242672112,0,0.301269312,0,0.38160457
SLC3A2,-0.060618152,0.212163531,0.484945214,0,1.649979743,0.273562935,0.04947354
MTHFD2,-0.060618152,0.212163531,0.424327063,0,1.572511511,0.211059585,0.057915986
FASN,-0.090927228,0.212163531,0.51525429,0,1.421756434,0.086972833,0.077548485
PRDX3,-0.121236304,0.212163531,0.484945214,0,1.281841902,0,0.099949056
GOT1,-0.121236304,0.212163531,0.51525429,0,1.270495108,0,0.101954162
FECH,-0.242472607,0.212163531,0.636490594,0,0.983838463,0,0.162597472
GANAB,-0.242472607,0.212163531,0.606181518,0,0.938585679,0,0.173971754
PTGES2,-0.242472607,0.212163531,0.606181518,0,0.920318206,0,0.178703249
GMPPA,-0.242472607,0.212163531,0.575872442,0,0.87995427,0,0.189442042
CHPT1,-0.333399835,0.212163531,0.697108746,0,0.775405384,0,0.219050077
GMPS,-0.303090759,0.212163531,0.66679967,0,0.773791576,0,0.219527027
ATP6V1B2,-0.333399835,0.212163531,0.66679967,0,0.740410019,0,0.229525621
PYGM,-0.424327063,0.212163531,0.818345049,0,0.663071619,0,0.253642343
GPAT4,-0.394017987,0.212163531,0.757726897,0,0.656801738,0,0.255654203
AGPAT3,-0.424327063,0.212163531,0.697108746,0,0.655334056,0,0.256126349
SCLY,-0.51525429,0.212163531,2.818744058,0,0.65116646,0,0.257469519
ISYNA1,-0.51525429,0.212163531,1.060817656,0,0.627001556,0,0.265329108
MCEE,-0.424327063,0.212163531,0.757726897,0,0.626991651,0,0.265332354
SLC52A3,-0.484945214,0.212163531,1.03050858,0,0.618179559,0,0.268228492
SLC43A1,-0.484945214,0.212163531,0.878963201,0,0.596215543,0,0.275515622
B3GALT6,-0.484945214,0.212163531,0.909272277,0,0.595108799,0,0.275885374
ENO2,-0.51525429,0.212163531,0.939581353,0,0.587657391,0,0.27838114
ME2,-0.51525429,0.212163531,0.939581353,0,0.582117016,0,0.280243932
PGAP1,-0.484945214,0.212163531,0.939581353,0,0.574706335,0,0.282744961
CES2,-0.484945214,0.212163531,0.788035973,0,0.549681173,0,0.291269036
ELOVL4,-0.575872442,0.212163531,0.969890429,0,0.492219334,0,0.311282149
SLC36A1,-0.575872442,0.212163531,0.848654125,0,0.477663269,0,0.316444946
SLC7A8,-0.727417821,0.212163531,1.000199505,0,0.416840836,0,0.338397415
CERK,-3.303689273,0.212163531,1.060817656,0,0.04265247,0,0.482989284
SLC25A6,-0.060618152,0.181854455,0.394017987,0,1.425654198,0.090642257,0.076984092
SLC1A4,-0.151545379,0.181854455,0.51525429,0,1.134633532,0,0.128264449
GPX4,-0.151545379,0.181854455,0.484945214,0,1.072392963,0,0.141771784
MDH2,-0.181854455,0.181854455,0.484945214,0,1.002051444,0,0.158159374
NDUFA10,-0.181854455,0.181854455,0.484945214,0,0.998659662,0,0.158979794
PGP,-0.181854455,0.181854455,0.484945214,0,0.917818553,0,0.179356934
CDS1,-0.212163531,0.181854455,0.575872442,0,0.889113958,0,0.186970919
FDPS,-0.242472607,0.181854455,0.575872442,0,0.848300319,0,0.19813537
GPT2,-0.242472607,0.181854455,0.575872442,0,0.814354404,0,0.207720976
HNMT,-0.303090759,0.181854455,0.636490594,0,0.772787421,0,0.2198241
IREB2,-0.272781683,0.181854455,0.545563366,0,0.721543425,0,0.235287617
PDE8A,-0.303090759,0.181854455,0.636490594,0,0.696104218,0,0.243181783
GLB1,-0.303090759,0.181854455,0.575872442,0,0.690647584,0,0.244893518
ECH1,-0.333399835,0.181854455,0.606181518,0,0.662484287,0,0.253830451
PDHX,-0.363708911,0.181854455,0.66679967,0,0.660377068,0,0.254505942
PPAT,-0.333399835,0.181854455,0.636490594,0,0.630300524,0,0.26424899
AMY2B,-0.454636138,0.181854455,0.727417821,0,0.611589213,0,0.270404788
ATP5MGL,-0.424327063,0.181854455,0.788035973,0,0.57262676,0,0.283448719
PLD2,-0.424327063,0.181854455,0.757726897,0,0.560423519,0,0.287595297
UGCG,-0.454636138,0.181854455,0.788035973,0,0.559376437,0,0.287952419
CBR3,-0.454636138,0.181854455,0.788035973,0,0.55574344,0,0.289193128
TXNRD2,-0.484945214,0.181854455,0.788035973,0,0.525923236,0,0.299470772
ACP6,-0.51525429,0.181854455,0.818345049,0,0.514985559,0,0.303281556
CYP51A1,-0.484945214,0.181854455,0.818345049,0,0.504016883,0,0.307124757
GART,-0.454636138,0.181854455,0.727417821,0,0.503639001,0,0.30725754
NDUFB6,-0.454636138,0.181854455,0.697108746,0,0.487711899,0,0.312876961
PLOD2,-0.51525429,0.181854455,0.818345049,0,0.484601789,0,0.313979422
HS6ST2,-0.545563366,0.181854455,0.909272277,0,0.476902276,0,0.316715856
SLC37A4,-0.51525429,0.181854455,0.727417821,0,0.464163528,0,0.321265295
GUCY1B2,-0.545563366,0.181854455,0.878963201,0,0.457534928,0,0.323643302
TXNRD3,-0.606181518,0.181854455,0.969890429,0,0.455301975,0,0.324446003
SRD5A1,-0.545563366,0.181854455,0.818345049,0,0.431041919,0,0.333218945
NPR2,-2.970289438,0.181854455,1.333599339,0,0.421601655,0,0.336657899
ABCC4,-2.606580527,0.181854455,1.121435808,0,0.414518007,0,0.339247391
ALOX15,-0.606181518,0.181854455,0.939581353,0,0.408657312,0,0.341395583
HS6ST1,-0.575872442,0.181854455,0.818345049,0,0.408581318,0,0.341423472
SPHK2,-0.66679967,0.181854455,0.969890429,0,0.38581831,0,0.349815617
CYP27B1,-0.66679967,0.181854455,0.848654125,0,0.371992197,0,0.354949329
FDFT1,-0.151545379,0.151545379,0.454636138,0,0.987594108,0,0.161675737
ETFA,-0.151545379,0.151545379,0.454636138,0,0.984883752,0,0.162340588
ACSL3,-0.181854455,0.151545379,0.454636138,0,0.878440171,0,0.189852446
UGP2,-0.181854455,0.151545379,0.424327063,0,0.865330728,0,0.193428645
NDUFS5,-0.242472607,0.151545379,0.484945214,0,0.70291203,0,0.241055287
SETDB1,-0.272781683,0.151545379,0.575872442,0,0.69300412,0,0.244153483
PPT1,-0.333399835,0.151545379,0.545563366,0,0.668055623,0,0.252049044
SOAT1,-0.333399835,0.151545379,0.606181518,0,0.646411942,0,0.259006304
FH,-0.303090759,0.151545379,0.575872442,0,0.64436052,0,0.25967084
GGT1,-0.51525429,0.151545379,0.727417821,0,0.625551716,0,0.265804509
PANK3,-0.272781683,0.151545379,0.51525429,0,0.618098234,0,0.268255293
SCARB1,-0.363708911,0.151545379,0.575872442,0,0.558068843,0,0.288398688
COQ6,-0.424327063,0.151545379,0.697108746,0,0.532905369,0,0.297049544
FPGS,-0.424327063,0.151545379,0.697108746,0,0.512014029,0,0.304320595
GALNT14,-1.121435808,0.151545379,2.36410792,0,0.445552444,0,0.327960284
GUSB,-0.424327063,0.151545379,0.636490594,0,0.443280509,0,0.328781426
CHDH,-0.51525429,0.151545379,0.727417821,0,0.439633791,0,0.330101182
PIK3CA,-0.51525429,0.151545379,0.818345049,0,0.429139462,0,0.333910868
ALDOC,-0.484945214,0.151545379,0.727417821,0,0.418533219,0,0.337778652
GALNT10,-0.545563366,0.151545379,0.757726897,0,0.411840985,0,0.34022799
CHST11,-0.51525429,0.151545379,0.818345049,0,0.408450897,0,0.341471336
SLC25A22,-0.575872442,0.151545379,0.848654125,0,0.398790303,0,0.345023861
SMPD4,-0.66679967,0.151545379,0.969890429,0,0.39024238,0,0.348178663
SLC9A8,-0.51525429,0.151545379,0.788035973,0,0.387216141,0,0.349298101
PIGN,-0.545563366,0.151545379,0.878963201,0,0.37770622,0,0.352824423
ACYP1,-0.606181518,0.151545379,0.878963201,0,0.371513588,0,0.355127519
AFMID,-0.545563366,0.151545379,0.788035973,0,0.368686288,0,0.356180785
PPCDC,-0.66679967,0.151545379,0.818345049,0,0.279046059,0,0.390104739
SLC38A2,-0.181854455,0.121236304,0.424327063,0,0.77391546,0,0.219490393
SQLE,-0.181854455,0.121236304,0.394017987,0,0.772173402,0,0.220005866
GGCT,-0.181854455,0.121236304,0.394017987,0,0.735943376,0,0.230882579
IDH1,-0.212163531,0.121236304,0.394017987,0,0.670613833,0,0.251233284
CBR1,-0.242472607,0.121236304,0.454636138,0,0.644734348,0,0.259549677
GNPNAT1,-0.212163531,0.121236304,0.424327063,0,0.636642645,0,0.26217882
