samples,name,reads,relative,genus
com_0.1066_0.3876_0.5057,C,1,0.5057489913887026,C
com_0.113_0.4163_0.4708,A,1,0.11296028958459503,A
com_0.113_0.4163_0.4708,B,1,0.4162790354972001,B
com_0.113_0.4163_0.4708,C,1,0.4707606749182049,C
com_0.1104_0.4095_0.4801,A,1,0.1103972552761864,A
com_0.1104_0.4095_0.4801,B,1,0.40953781445735743,B
com_0.1104_0.4095_0.4801,C,1,0.4800649302664562,C
com_0.1197_0.3492_0.531,A,1,0.11972613307934712,A
com_0.1197_0.3492_0.531,B,1,0.34922680515605814,B
com_0.1197_0.3492_0.531,C,1,0.5310470617645948,C
com_0.1224_0.4243_0.4533,A,1,0.12235031747787747,A
com_0.1224_0.4243_0.4533,B,1,0.4243128950101555,B
com_0.1224_0.4243_0.4533,C,1,0.453336787511967,C
com_0.1294_0.3577_0.5129,A,1,0.1293969955778279,A
com_0.1294_0.3577_0.5129,B,1,0.35765516639004546,B
com_0.1294_0.3577_0.5129,C,1,0.5129478380321266,C
com_0.1085_0.4273_0.4642,A,1,0.10850870961384326,A
com_0.1085_0.4273_0.4642,B,1,0.4272599964712496,B
com_0.1085_0.4273_0.4642,C,1,0.4642312939149071,C
com_0.0986_0.3896_0.5118,A,1,0.09857398129097529,A
com_0.0986_0.3896_0.5118,B,1,0.3896269057447627,B
com_0.0986_0.3896_0.5118,C,1,0.5117991129642621,C
com_0.1059_0.3785_0.5155,A,1,0.10594943253696716,A
com_0.1059_0.3785_0.5155,B,1,0.3785227616424476,B
com_0.1059_0.3785_0.5155,C,1,0.5155278058205852,C
com_0.0978_0.3768_0.5254,A,1,0.09779500939859403,A
com_0.0978_0.3768_0.5254,B,1,0.3767620136410944,B
com_0.0978_0.3768_0.5254,C,1,0.5254429769603116,C
com_0.1256_0.3674_0.507,A,1,0.12559107240326284,A
com_0.1256_0.3674_0.507,B,1,0.3674130946349517,B
com_0.1256_0.3674_0.507,C,1,0.5069958329617854,C
com_0.0798_0.4178_0.5024,A,1,0.07983379758609141,A
com_0.0798_0.4178_0.5024,B,1,0.4177798456988052,B
com_0.0798_0.4178_0.5024,C,1,0.5023863567151033,C
com_0.1213_0.3688_0.5099,A,1,0.12128248518623248,A
com_0.1213_0.3688_0.5099,B,1,0.36876925814369654,B
com_0.1213_0.3688_0.5099,C,1,0.5099482566700709,C
com_0.0994_0.4277_0.4729,A,1,0.09942908806473386,A
com_0.0994_0.4277_0.4729,B,1,0.4276925315967585,B
com_0.0994_0.4277_0.4729,C,1,0.47287838033850765,C
com_0.1218_0.4267_0.4515,A,1,0.12179523464300486,A
com_0.1218_0.4267_0.4515,B,1,0.42672762373478584,B
com_0.1218_0.4267_0.4515,C,1,0.45147714162220937,C
com_0.1292_0.424_0.4468,A,1,0.12919190165222894,A
com_0.1292_0.424_0.4468,B,1,0.42403964928038296,B
com_0.1292_0.424_0.4468,C,1,0.4467684490673881,C
com_0.0893_0.4163_0.4943,A,1,0.08931726639131306,A
com_0.0893_0.4163_0.4943,B,1,0.4163329079092483,B
com_0.0893_0.4163_0.4943,C,1,0.4943498256994387,C
com_0.1132_0.4124_0.4744,A,1,0.11322441590070906,A
com_0.1132_0.4124_0.4744,B,1,0.4123831260542029,B
com_0.1132_0.4124_0.4744,C,1,0.474392458045088,C
com_0.1119_0.4015_0.4866,A,1,0.11193099344756666,A
com_0.1119_0.4015_0.4866,B,1,0.40146641648638964,B
com_0.1119_0.4015_0.4866,C,1,0.4866025900660437,C
com_0.0941_0.3962_0.5097,A,1,0.0940502687090401,A
com_0.0941_0.3962_0.5097,B,1,0.39622120878172773,B
com_0.0941_0.3962_0.5097,C,1,0.5097285225092322,C
com_0.1166_0.3752_0.5082,A,1,0.11664005339229012,A
com_0.1166_0.3752_0.5082,B,1,0.3752013832216517,B
com_0.1166_0.3752_0.5082,C,1,0.5081585633860581,C
com_0.0622_0.3633_0.5745,A,1,0.06216063522965133,A
com_0.0622_0.3633_0.5745,B,1,0.3633459989638318,B
com_0.0622_0.3633_0.5745,C,1,0.5744933658065169,C
com_0.0971_0.3993_0.5037,A,1,0.09706146902973478,A
com_0.0971_0.3993_0.5037,B,1,0.3992717315823321,B
com_0.0971_0.3993_0.5037,C,1,0.5036667993879331,C
com_0.1015_0.4162_0.4823,A,1,0.10149926700554046,A
com_0.1015_0.4162_0.4823,B,1,0.4161720716424092,B
com_0.1015_0.4162_0.4823,C,1,0.4823286613520503,C
com_0.1044_0.4019_0.4936,A,1,0.10444113623852383,A
com_0.1044_0.4019_0.4936,B,1,0.4019400368751137,B
com_0.1044_0.4019_0.4936,C,1,0.4936188268863625,C
com_0.1019_0.4137_0.4844,A,1,0.1018836279414908,A
com_0.1019_0.4137_0.4844,B,1,0.4137119204230441,B
com_0.1019_0.4137_0.4844,C,1,0.48440445163546514,C
com_0.0846_0.4125_0.5029,A,1,0.0846378591127809,A
com_0.0846_0.4125_0.5029,B,1,0.4124764667954165,B
com_0.0846_0.4125_0.5029,C,1,0.5028856740918026,C
com_0.0576_0.3659_0.5765,A,1,0.057571332807794626,A
com_0.0576_0.3659_0.5765,B,1,0.3659170380777108,B
com_0.0576_0.3659_0.5765,C,1,0.5765116291144946,C
com_0.0894_0.3928_0.5178,A,1,0.08943041220792095,A
com_0.0894_0.3928_0.5178,B,1,0.39275916006986394,B
com_0.0894_0.3928_0.5178,C,1,0.5178104277222151,C
com_0.0521_0.3721_0.5758,A,1,0.05205655719088418,A
com_0.0521_0.3721_0.5758,B,1,0.37210973986397505,B
com_0.0521_0.3721_0.5758,C,1,0.5758337029451408,C
com_0.0661_0.4274_0.5065,A,1,0.0661263722159117,A
com_0.0661_0.4274_0.5065,B,1,0.42736248128971543,B
com_0.0661_0.4274_0.5065,C,1,0.5065111464943729,C
com_0.0929_0.3934_0.5137,A,1,0.09286292267216821,A
com_0.0929_0.3934_0.5137,B,1,0.3933928036402563,B
com_0.0929_0.3934_0.5137,C,1,0.5137442736875756,C
com_0.0922_0.3936_0.5142,A,1,0.09219596068924005,A
com_0.0922_0.3936_0.5142,B,1,0.39360848968150863,B
com_0.0922_0.3936_0.5142,C,1,0.5141955496292513,C
com_0.5982_0.2657_0.1361,A,1,0.5981555909331331,A
com_0.5982_0.2657_0.1361,B,1,0.26571248737708264,B
com_0.5982_0.2657_0.1361,C,1,0.13613192168978427,C
com_0.5432_0.3125_0.1443,A,1,0.5432458667784,A
com_0.5432_0.3125_0.1443,B,1,0.31247608949424405,B
com_0.5432_0.3125_0.1443,C,1,0.14427804372735592,C
com_0.5898_0.2342_0.176,A,1,0.5897819259688326,A
com_0.5898_0.2342_0.176,B,1,0.23420107697641104,B
com_0.5898_0.2342_0.176,C,1,0.17601699705475635,C
com_0.5544_0.2461_0.1994,A,1,0.5544426387861069,A
com_0.5544_0.2461_0.1994,B,1,0.24613799009080675,B
com_0.5544_0.2461_0.1994,C,1,0.19941937112308636,C
com_0.5442_0.2956_0.1602,A,1,0.5441593953400027,A
com_0.5442_0.2956_0.1602,B,1,0.2956329875964529,B
com_0.5442_0.2956_0.1602,C,1,0.16020761706354442,C
com_0.5891_0.303_0.1079,A,1,0.5890602749340809,A
com_0.5891_0.303_0.1079,B,1,0.30299820688288664,B
com_0.5891_0.303_0.1079,C,1,0.10794151818303249,C
com_0.5924_0.2647_0.1429,A,1,0.5924050240111604,A
com_0.5924_0.2647_0.1429,B,1,0.26465988120383993,B
com_0.5924_0.2647_0.1429,C,1,0.14293509478499972,C
com_0.5971_0.291_0.1119,A,1,0.597051717044515,A
com_0.5971_0.291_0.1119,B,1,0.2910330488537634,B
com_0.5971_0.291_0.1119,C,1,0.1119152341017216,C
com_0.5465_0.2845_0.169,A,1,0.5465344326886871,A
com_0.5465_0.2845_0.169,B,1,0.28446898964317363,B
com_0.5465_0.2845_0.169,C,1,0.1689965776681393,C
com_0.5955_0.2621_0.1424,A,1,0.5954778046922379,A
com_0.5955_0.2621_0.1424,B,1,0.26210675321775406,B
com_0.5955_0.2621_0.1424,C,1,0.14241544209000806,C
com_0.5599_0.235_0.2051,A,1,0.5598829707000074,A
com_0.5599_0.235_0.2051,B,1,0.23501227369097105,B
com_0.5599_0.235_0.2051,C,1,0.20510475560902158,C
com_0.5736_0.2962_0.1302,A,1,0.573594058889931,A
com_0.5736_0.2962_0.1302,B,1,0.29616430277037636,B
com_0.5736_0.2962_0.1302,C,1,0.13024163833969266,C
com_0.5839_0.2371_0.179,A,1,0.5838834293894688,A
com_0.5839_0.2371_0.179,B,1,0.23713275845826623,B
com_0.5839_0.2371_0.179,C,1,0.17898381215226497,C
com_0.5436_0.2487_0.2078,A,1,0.5435610047067313,A
com_0.5436_0.2487_0.2078,B,1,0.24867417455291074,B
com_0.5436_0.2487_0.2078,C,1,0.20776482074035796,C
com_0.595_0.2445_0.1605,A,1,0.5950482772471472,A
com_0.595_0.2445_0.1605,B,1,0.2444930683467854,B
com_0.595_0.2445_0.1605,C,1,0.16045865440606744,C
com_0.5575_0.3094_0.133,A,1,0.5575248814290769,A
com_0.5575_0.3094_0.133,B,1,0.3094394604397837,B
com_0.5575_0.3094_0.133,C,1,0.13303565813113943,C
com_0.558_0.2528_0.1892,A,1,0.5580030420609814,A
com_0.558_0.2528_0.1892,B,1,0.25283377208801655,B
com_0.558_0.2528_0.1892,C,1,0.18916318585100206,C
com_0.5422_0.2448_0.213,A,1,0.5422217748440353,A
com_0.5422_0.2448_0.213,B,1,0.2448119244716474,B
com_0.5422_0.2448_0.213,C,1,0.21296630068431727,C
com_0.6081_0.2704_0.1216,A,1,0.6080893095844025,A
com_0.6081_0.2704_0.1216,B,1,0.27035975866142503,B
com_0.6081_0.2704_0.1216,C,1,0.12155093175417242,C
com_0.5544_0.2559_0.1897,A,1,0.5544116650109011,A
com_0.5544_0.2559_0.1897,B,1,0.25592635614055703,B
com_0.5544_0.2559_0.1897,C,1,0.18966197884854186,C
com_0.5893_0.3071_0.1036,A,1,0.5892536305217202,A
com_0.5893_0.3071_0.1036,B,1,0.3071266127567352,B
com_0.5893_0.3071_0.1036,C,1,0.10361975672154461,C
com_0.55_0.2677_0.1822,A,1,0.5500387649190722,A
com_0.55_0.2677_0.1822,B,1,0.26774633333933867,B
com_0.55_0.2677_0.1822,C,1,0.1822149017415891,C
com_0.5545_0.2867_0.1588,A,1,0.554496175105439,A
com_0.5545_0.2867_0.1588,B,1,0.2866789738372921,B
com_0.5545_0.2867_0.1588,C,1,0.1588248510572689,C
com_0.5499_0.2907_0.1594,A,1,0.5499061599155755,A
com_0.5499_0.2907_0.1594,B,1,0.29069719224503365,B
com_0.5499_0.2907_0.1594,C,1,0.1593966478393909,C
com_0.5984_0.28_0.1216,A,1,0.5983672466681973,A
com_0.5984_0.28_0.1216,B,1,0.2800170076653238,B
com_0.5984_0.28_0.1216,C,1,0.12161574566647892,C
com_0.5541_0.2415_0.2043,A,1,0.5541182694168704,A
com_0.5541_0.2415_0.2043,B,1,0.24154841222551376,B
com_0.5541_0.2415_0.2043,C,1,0.20433331835761587,C
com_0.5485_0.3009_0.1506,A,1,0.5485232000416661,A
com_0.5485_0.3009_0.1506,B,1,0.3008758625903282,B
com_0.5485_0.3009_0.1506,C,1,0.15060093736800567,C
com_0.5484_0.2718_0.1798,A,1,0.5484204706974635,A
com_0.5484_0.2718_0.1798,B,1,0.27177039542283193,B
com_0.5484_0.2718_0.1798,C,1,0.1798091338797046,C
com_0.557_0.2731_0.1699,A,1,0.5569760110638087,A
com_0.557_0.2731_0.1699,B,1,0.2730942255244271,B
com_0.557_0.2731_0.1699,C,1,0.16992976341176425,C
com_0.596_0.3096_0.0944,A,1,0.5960209430673898,A
com_0.596_0.3096_0.0944,B,1,0.3095569407465789,B
com_0.596_0.3096_0.0944,C,1,0.09442211618603125,C
com_0.5632_0.3067_0.1301,A,1,0.5631634874665241,A
com_0.5632_0.3067_0.1301,B,1,0.30669835320918926,B
com_0.5632_0.3067_0.1301,C,1,0.13013815932428663,C
com_0.5541_0.2465_0.1993,A,1,0.5541425684533694,A
com_0.5541_0.2465_0.1993,B,1,0.24654639762915742,B
com_0.5541_0.2465_0.1993,C,1,0.19931103391747318,C
com_0.5487_0.2559_0.1955,A,1,0.5486520636900215,A
com_0.5487_0.2559_0.1955,B,1,0.25587307693566186,B
com_0.5487_0.2559_0.1955,C,1,0.19547485937431663,C
com_0.5572_0.3037_0.1391,A,1,0.5571930482355952,A
com_0.5572_0.3037_0.1391,B,1,0.30371695600140003,B
com_0.5572_0.3037_0.1391,C,1,0.13908999576300474,C
com_0.5854_0.2796_0.135,A,1,0.5853606507068166,A
com_0.5854_0.2796_0.135,B,1,0.2796240830915335,B
com_0.5854_0.2796_0.135,C,1,0.13501526620164983,C
com_0.5925_0.2507_0.1568,A,1,0.592500181319009,A
com_0.5925_0.2507_0.1568,B,1,0.2506616271347764,B
com_0.5925_0.2507_0.1568,C,1,0.15683819154621464,C
com_0.5818_0.2927_0.1255,A,1,0.5818377938857275,A
com_0.5818_0.2927_0.1255,B,1,0.2926646266196221,B
com_0.5818_0.2927_0.1255,C,1,0.12549757949465035,C
com_0.5908_0.284_0.1253,A,1,0.5907885398610165,A
com_0.5908_0.284_0.1253,B,1,0.2839548959990199,B
com_0.5908_0.284_0.1253,C,1,0.12525656413996356,C
com_0.598_0.3042_0.0979,A,1,0.5979706368027389,A
com_0.598_0.3042_0.0979,B,1,0.3041503892126443,B
com_0.598_0.3042_0.0979,C,1,0.09787897398461681,C
com_0.5988_0.296_0.1051,A,1,0.5988434792961409,A
com_0.5988_0.296_0.1051,B,1,0.29602013026940643,B
com_0.5988_0.296_0.1051,C,1,0.10513639043445266,C
com_0.5867_0.2468_0.1665,A,1,0.5866684495934501,A
com_0.5867_0.2468_0.1665,B,1,0.24682932480095945,B
com_0.5867_0.2468_0.1665,C,1,0.16650222560559044,C
com_0.6074_0.2509_0.1417,A,1,0.6073677264062742,A
com_0.6074_0.2509_0.1417,B,1,0.25089331602318127,B
com_0.6074_0.2509_0.1417,C,1,0.1417389575705445,C
com_0.5844_0.2617_0.1539,A,1,0.5844053639166399,A
com_0.5844_0.2617_0.1539,B,1,0.26172413762954877,B
com_0.5844_0.2617_0.1539,C,1,0.15387049845381134,C
com_0.5536_0.3035_0.1429,A,1,0.5536377313210039,A
com_0.5536_0.3035_0.1429,B,1,0.30346930000363503,B
com_0.5536_0.3035_0.1429,C,1,0.14289296867536105,C
com_0.5757_0.2741_0.1502,A,1,0.5756982569898327,A
com_0.5757_0.2741_0.1502,B,1,0.2741387560314736,B
com_0.5757_0.2741_0.1502,C,1,0.15016298697869374,C
com_0.5913_0.2523_0.1564,A,1,0.5913297470982691,A
com_0.5913_0.2523_0.1564,B,1,0.252305540021941,B
com_0.5913_0.2523_0.1564,C,1,0.15636471287978987,C
com_0.6079_0.301_0.0911,A,1,0.6079442183535827,A
com_0.6079_0.301_0.0911,B,1,0.30095230786640265,B
com_0.6079_0.301_0.0911,C,1,0.09110347378001465,C
com_0.607_0.3127_0.0802,A,1,0.6070463802023687,A
com_0.607_0.3127_0.0802,B,1,0.3127455026604809,B
com_0.607_0.3127_0.0802,C,1,0.08020811713715043,C
com_0.5892_0.2625_0.1483,A,1,0.5892092405484428,A
com_0.5892_0.2625_0.1483,B,1,0.2625118085141356,B
com_0.5892_0.2625_0.1483,C,1,0.1482789509374216,C
com_0.568_0.2673_0.1647,A,1,0.5680063188576077,A
com_0.568_0.2673_0.1647,B,1,0.26731455763315853,B
com_0.568_0.2673_0.1647,C,1,0.1646791235092338,C
com_0.5871_0.2491_0.1638,A,1,0.5871056818024561,A
com_0.5871_0.2491_0.1638,B,1,0.24905041319342672,B
com_0.5871_0.2491_0.1638,C,1,0.16384390500411714,C
com_0.5857_0.2761_0.1382,A,1,0.5857006085378658,A
com_0.5857_0.2761_0.1382,B,1,0.2760605911406862,B
com_0.5857_0.2761_0.1382,C,1,0.13823880032144803,C
com_0.5453_0.2531_0.2016,A,1,0.5453000948404388,A
com_0.5453_0.2531_0.2016,B,1,0.2531003075018748,B
com_0.5453_0.2531_0.2016,C,1,0.20159959765768637,C
com_0.5859_0.271_0.1431,A,1,0.5858545503526587,A
com_0.5859_0.271_0.1431,B,1,0.2709963911464731,B
com_0.5859_0.271_0.1431,C,1,0.14314905850086823,C
com_0.5427_0.2422_0.215,A,1,0.5427231136676715,A
com_0.5427_0.2422_0.215,B,1,0.24224642228504537,B
com_0.5427_0.2422_0.215,C,1,0.21503046404728318,C
com_0.5494_0.2999_0.1506,A,1,0.5494440025623983,A
com_0.5494_0.2999_0.1506,B,1,0.29992653337284914,B
com_0.5494_0.2999_0.1506,C,1,0.15062946406475253,C
com_0.5505_0.2503_0.1992,A,1,0.5504699345462863,A
com_0.5505_0.2503_0.1992,B,1,0.2502971272141437,B
com_0.5505_0.2503_0.1992,C,1,0.19923293823956995,C
com_0.5695_0.2354_0.1951,A,1,0.569515000235276,A
com_0.5695_0.2354_0.1951,B,1,0.23541375331086165,B
com_0.5695_0.2354_0.1951,C,1,0.19507124645386234,C
com_0.5959_0.2532_0.1509,A,1,0.5959070330369488,A
com_0.5959_0.2532_0.1509,B,1,0.2532011105052168,B
com_0.5959_0.2532_0.1509,C,1,0.15089185645783437,C
com_0.5448_0.2723_0.1829,A,1,0.544797423530857,A
com_0.5448_0.2723_0.1829,B,1,0.2723400500786689,B
com_0.5448_0.2723_0.1829,C,1,0.18286252639047407,C
com_0.5598_0.283_0.1572,A,1,0.5598065931063287,A
com_0.5598_0.283_0.1572,B,1,0.2829723219803295,B
com_0.5598_0.283_0.1572,C,1,0.15722108491334175,C
com_0.5989_0.2395_0.1616,A,1,0.5988653133355706,A
com_0.5989_0.2395_0.1616,B,1,0.2395001374695855,B
com_0.5989_0.2395_0.1616,C,1,0.1616345491948439,C
com_0.6057_0.2452_0.1492,A,1,0.6056643889411283,A
com_0.6057_0.2452_0.1492,B,1,0.24515664423523795,B
com_0.6057_0.2452_0.1492,C,1,0.14917896682363377,C
com_0.0902_0.391_0.5188,A,1,0.09022556269772179,A
com_0.0902_0.391_0.5188,B,1,0.3909774316400026,B
com_0.0902_0.391_0.5188,C,1,0.5187970056622756,C
com_0.5739_0.2739_0.1522,A,1,0.5739130573913058,A
com_0.5739_0.2739_0.1522,B,1,0.2739130273913028,B
com_0.5739_0.2739_0.1522,C,1,0.15217391521739154,C
