abbreviation,fullName,chargedFormula
2mop_m,2-methyl-3-oxopropanoate,C4H5O3
2mp2coa_m,methacrylyl-CoA,C25H36N7O17P3S
2mpdhl_m,S(8)-(2-methylpropanoyl)dihydrolipoamide,C12H23NO2S2
2obut_c,2-oxobutanoate,C4H5O3
2obut_m,2-oxobutanoate,C4H5O3
2octdectecoa_m,"2,6,9,12-octadecatetraenoylcoa",C39H58N7O17P3S
2octdectecoa_x,"2,6,9,12-octadecatetraenoylcoa",C39H58N7O17P3S
2octpencoa_m,"2,6,9,12,15-octadecapentenoylcoa",C39H56N7O17P3S
2oxoadp_c,2-oxoadipate(2-),C6H6O5
2oxoadp_m,2-oxoadipate(2-),C6H6O5
2pg_c,2-phosphonato-D-glycerate(3-),C3H4O7P
2pglyc_c,2-phosphonatoglycolate(3-),C2H2O6P
34dhcinm_c,trans-caffeate,C9H7O4
34dhmald_c,"3,4-dihydroxymandelaldehyde",C8H8O4
34dhmald_m,"3,4-dihydroxymandelaldehyde",C8H8O4
34dhoxmand_c,"3,4-dihydroxymandelic acid",C8H7O5
34dhoxmand_m,"3,4-dihydroxymandelic acid",C8H7O5
34dhoxpeg_c,"3,4-dihydroxyphenylethyleneglycol",C8H10O4
34dhoxpeg_e,"3,4-dihydroxyphenylethyleneglycol",C8H10O4
34dhpac_c,"3,4-dihydroxyphenylacetaldehyde",C8H8O3
34dhpha_c,"(3,4-dihydroxyphenyl)acetate",C8H7O4
34dhphe_c,L-dopa,C9H11NO4
34dhphe_e,L-dopa,C9H11NO4
34hpl_m,3-(4-hydroxyphenyl)lactate,C9H9O4
34hpp_c,3-(4-hydroxyphenyl)pyruvate,C9H7O4
34hpp_e,3-(4-hydroxyphenyl)pyruvate,C9H7O4
34hpp_m,3-(4-hydroxyphenyl)pyruvate,C9H7O4
35cgmp_c,"3',5'-cyclic GMP(1-)",C10H11N5O7P
35cgmp_e,"3',5'-cyclic GMP(1-)",C10H11N5O7P
35cgmp_g,"3',5'-cyclic GMP(1-)",C10H11N5O7P
35cgmp_n,"3',5'-cyclic GMP(1-)",C10H11N5O7P
35diotyr_c,"3,5-diiodo-L-tyrosine",C9H9I2NO3
3aib_D_c,(R)-3-aminoisobutyric acid,C4H9NO2
3aib_D_e,(R)-3-aminoisobutyric acid,C4H9NO2
3aib_D_m,(R)-3-aminoisobutyric acid,C4H9NO2
3aib_c,(S)-3-aminoisobutyric acid,C4H9NO2
3aib_e,(S)-3-aminoisobutyric acid,C4H9NO2
3aib_m,(S)-3-aminoisobutyric acid,C4H9NO2
3amp_l,3'-AMP(2-),C10H12N5O7P
3bcrn_c,3-hydroxy butyryl carnitine,C11H21NO5
3bcrn_e,3-hydroxy butyryl carnitine,C11H21NO5
3ddcrn_c,3-hydroxydodecanoylcarnitine,C19H37NO5
3ddcrn_e,3-hydroxydodecanoylcarnitine,C19H37NO5
tddedicoa_x,"(3Z,6Z)-dodecadienoyl-CoA(4-)",C33H50N7O17P3S
3deccrn_c,3-hydroxydecanoylcarnitine,C17H33NO5
3deccrn_e,3-hydroxydecanoylcarnitine,C17H33NO5
3decdicoa_m,"3,7-decadienoylcoa",C31H46N7O17P3S
3decdicoa_x,"3,7-decadienoylcoa",C31H46N7O17P3S
3dhguln_c,3-dehydro-L-gulonate,C6H9O7
3docopencoa_m,"3,7,10,13,16-docosapentenoylcoa",C43H64N7O17P3S
3docopencoa_x,"3,7,10,13,16-docosapentenoylcoa",C43H64N7O17P3S
3dodtricoa_m,"3,6,9-dodecatrienoylcoa",C33H48N7O17P3S
3dodtricoa_x,"3,6,9-dodecatrienoylcoa",C33H48N7O17P3S
3dpdhb_m,"3-decaprenyl-4,5-dihydroxybenzoic acid",C57H85O4
3dpdhb_me_m,3-decaprenyl-4-hydroxy-5-methoxybenzoic acid,C58H87O4
3dphb_m,4-hydroxy-3-all-trans-decaprenylbenzoic acid,C57H85O3
3dsphgn_c,3-dehydrosphinganinium(1+),C18H38NO2
3h26dm5coa_m,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C31H48N7O18P3S
3h26dm5coa_x,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C31H48N7O18P3S
3hanthrn_c,3-hydroxyanthranilate,C7H7NO3
3hbcoa_R_c,(R)-3-hydroxybutanoyl-CoA(4-),C25H38N7O18P3S
3hbcoa_R_m,(R)-3-hydroxybutanoyl-CoA(4-),C25H38N7O18P3S
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-),C25H38N7O18P3S
3hbcoa_x,(S)-3-hydroxybutanoyl-CoA(4-),C25H38N7O18P3S
3hdcoa_c,(S)-3-hydroxydecanoyl-CoA(4-),C31H50N7O18P3S
3hdcoa_m,(S)-3-hydroxydecanoyl-CoA(4-),C31H50N7O18P3S
3hddcoa_c,(S)-3-hydroxylauroyl-CoA(4-),C33H54N7O18P3S
3hddcoa_m,(S)-3-hydroxylauroyl-CoA(4-),C33H54N7O18P3S
3hdeccoa_c,3-hydroxyhexadecenoylcoa,C37H60N7O18P3S
3hdeccoa_m,3-hydroxyhexadecenoylcoa,C37H60N7O18P3S
3hdececrn_c,3-hydroxyhexadecenoylcarnitine,C23H43NO5
3hdececrn_e,3-hydroxyhexadecenoylcarnitine,C23H43NO5
3hexdcoa_c,(S)-3-hydroxypalmitoyl-CoA(4-),C37H62N7O18P3S
3hexdcoa_m,(S)-3-hydroxypalmitoyl-CoA(4-),C37H62N7O18P3S
3hexdcrn_c,3-hydroxyhexadecanoylcarnitine,C23H45NO5
3hexdcrn_e,3-hydroxyhexadecanoylcarnitine,C23H45NO5
3hexdtetcoa_m,"3,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
3hexdtetcoa_x,"3,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
3hexdtricoa_m,"3,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
3hexdtricoa_x,"3,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
3hibutcoa_m,3-hydroxy-2-methylpropanoyl-CoA,C25H38N7O18P3S
3hmbcoa_m,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",C26H40N7O18P3S
3hmp_m,3-hydroxy-2-isobutyrate,C4H7O3
3hodcoa_c,(S)-3-Hydroxyoctadecanoyl-CoA,C39H66N7O18P3S
3hodcoa_m,(S)-3-Hydroxyoctadecanoyl-CoA,C39H66N7O18P3S
3hpcoa_c,3-hydroxypropanoyl-CoA(4-),C24H36N7O18P3S
3hpcoa_m,3-hydroxypropanoyl-CoA(4-),C24H36N7O18P3S
3hpcoa_x,3-hydroxypropanoyl-CoA(4-),C24H36N7O18P3S
3hpp_c,3-hydroxypropionate,C3H5O3
3hpp_m,3-hydroxypropionate,C3H5O3
3htdcoa_c,(S)-3-hydroxytetradecanoyl-CoA(4-),C35H58N7O18P3S
3htdcoa_m,(S)-3-hydroxytetradecanoyl-CoA(4-),C35H58N7O18P3S
3htmelys_c,"3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine",C9H20N2O3
3htmelys_m,"3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine",C9H20N2O3
3hxkynam_c,3-Hydroxykynurenamine,C9H13N2O2
3ityr_L_c,3-iodo-L-tyrosine,C9H10INO3
3ivcoa_c,3-hydroxyisovaleryl-CoA,C26H44N7O18P3S
3ivcoa_m,3-hydroxyisovaleryl-CoA,C26H44N7O18P3S
3ivcrn_c,3-hydroxy-isovaleryl carnitine,C12H23NO5
3ivcrn_e,3-hydroxy-isovaleryl carnitine,C12H23NO5
3m4hpga_c,3-Methoxy-4-hydroxyphenylglycolaldehyde,C9H10O4
3m4hpga_m,3-Methoxy-4-hydroxyphenylglycolaldehyde,C9H10O4
3mb2coa_m,3-methylbut-2-enoyl-CoA(4-),C26H38N7O17P3S
3mgcoa_m,trans-3-methylglutaconyl-CoA(5-),C27H37N7O19P3S
3mlda_c,1-methyl-4-imidazoleacetic acid,C6H7N2O2
3mlda_e,1-methyl-4-imidazoleacetic acid,C6H7N2O2
3mldz_c,1-methylimidazole-4-acetaldehyde,C6H8N2O
3mob_c,3-methyl-2-oxobutanoate,C5H7O3
3mob_e,3-methyl-2-oxobutanoate,C5H7O3
3mob_m,3-methyl-2-oxobutanoate,C5H7O3
3mop_c,3-methyl-2-oxovalerate,C6H9O3
3mop_e,3-methyl-2-oxovalerate,C6H9O3
3mop_m,3-methyl-2-oxovalerate,C6H9O3
3mox4hoxm_c,vanillylmandelate,C9H9O5
3mox4hoxm_m,vanillylmandelate,C9H9O5
3mox4hpac_c,(4-hydroxy-3-methoxyphenyl)acetaldehyde,C9H10O3
3mox4hpac_m,(4-hydroxy-3-methoxyphenyl)acetaldehyde,C9H10O3
3moxtyr_c,3-Methoxytyramine,C9H14NO2
3ocddcoa_c,3-hydroxyoctadecadienoylcoa,C39H62N7O18P3S
3ocddcoa_m,3-hydroxyoctadecadienoylcoa,C39H62N7O18P3S
3octdec2crn_c,3-hydroxyoctadecadienoylcarnitine,C25H45NO5
3octdec2crn_e,3-hydroxyoctadecadienoylcarnitine,C25H45NO5
3octdeccrn_c,3-hydroxyoctadecanoyl carnitine,C25H49NO5
3octdeccrn_e,3-hydroxyoctadecanoyl carnitine,C25H49NO5
3octdece1coa_c,3-hydroxyoctadecenoylcoa,C39H64N7O18P3S
3octdece1coa_m,3-hydroxyoctadecenoylcoa,C39H64N7O18P3S
3octdece1crn_c,3-hydroxy-octadecenoyl carnitine,C25H47NO5
3octdece1crn_e,3-hydroxy-octadecenoyl carnitine,C25H47NO5
3octdectecoa_m,"3,6,9,12-octadecatetraenoylcoa",C39H58N7O17P3S
3octdectecoa_x,"3,6,9,12-octadecatetraenoylcoa",C39H58N7O17P3S
3octpencoa_m,"3,6,9,12,15-octadecapentenoylcoa",C39H56N7O17P3S
3odcoa_m,3-oxodecanoyl-CoA,C31H48N7O18P3S
3odcoa_x,3-oxodecanoyl-CoA,C31H48N7O18P3S
3oddcoa_m,3-oxolauroyl-CoA,C33H52N7O18P3S
3oddcoa_x,3-oxolauroyl-CoA,C33H52N7O18P3S
3ohdcoa_m,3-oxopalmitoyl-CoA(4-),C37H60N7O18P3S
3ohdcoa_x,3-oxopalmitoyl-CoA(4-),C37H60N7O18P3S
3ohodcoa_c,3-oxooctadecanoyl-CoA,C39H64N7O18P3S
3ohodcoa_l,3-oxooctadecanoyl-CoA,C39H64N7O18P3S
3ohodcoa_r,3-oxooctadecanoyl-CoA,C39H64N7O18P3S
3ohodcoa_x,3-oxooctadecanoyl-CoA,C39H64N7O18P3S
3ohxccoa_x,3-oxohexacosanoyl-CoA,C47H80N7O18P3S
3otdcoa_m,3-oxotetradecanoyl-CoA,C35H56N7O18P3S
3otdcoa_x,3-oxotetradecanoyl-CoA,C35H56N7O18P3S
3padsel_c,3-Phosphoadenylylselenate,C10H11N5O13P2Se
3pg_c,3-phosphonato-D-glycerate(3-),C3H4O7P
3pg_m,3-phosphonato-D-glycerate(3-),C3H4O7P
3php_c,3-phosphonatooxypyruvate(3-),C3H2O7P
3sala_c,3-sulfino-L-alanine(1-),C3H5NO4S
3sala_m,3-sulfino-L-alanine(1-),C3H5NO4S
3snpyr_c,3-sulfinylpyruvic acid,C3H2O5S
3snpyr_m,3-sulfinylpyruvic acid,C3H2O5S
3spyr_c,3-sulfonatopyruvate(2-),C3H2O6S
3spyr_m,3-sulfonatopyruvate(2-),C3H2O6S
3tdcrn_c,3-hydroxy-tetradecanoyl carnitine,C21H41NO5
3tdcrn_e,3-hydroxy-tetradecanoyl carnitine,C21H41NO5
3tetd7ecoa_c,3-hydroxy tetradecenoyl-7-coa,C35H56N7O18P3S
3tetd7ecoa_m,3-hydroxy tetradecenoyl-7-coa,C35H56N7O18P3S
3tetd7ecoacrn_c,3-hydroxy tetradecenoyl-7-carnitine,C21H39NO5
3tetd7ecoacrn_e,3-hydroxy tetradecenoyl-7-carnitine,C21H39NO5
3thexddcoa_c,"3-hydroxy trans7,10-hexadecadienoylcoa",C37H58N7O18P3S
3thexddcoa_m,"3-hydroxy trans7,10-hexadecadienoylcoa",C37H58N7O18P3S
3thexddcoacrn_c,"3-hydroxy trans7,10-hexadecadienoyl carnitine",C23H41NO5
3thexddcoacrn_e,"3-hydroxy trans7,10-hexadecadienoyl carnitine",C23H41NO5
3ttetddcoa_c,"3-hydroxy trans5,8tetradecadienoyl coa",C35H54N7O18P3S
3ttetddcoa_m,"3-hydroxy trans5,8tetradecadienoyl coa",C35H54N7O18P3S
3ttetddcoacrn_c,"3-hydroxy trans5,8tetradecadienoyl carnitine",C21H37NO5
3ttetddcoacrn_e,"3-hydroxy trans5,8tetradecadienoyl carnitine",C21H37NO5
3uib_c,3-ureidoisobutyric acid,C5H9N2O3
3ump_c,3'-UMP(2-),C9H11N2O9P
3ump_e,3'-UMP(2-),C9H11N2O9P
42A3HP24DB_c,"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",C10H8NO5
44mctr_c,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",C29H46O
44mctr_r,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",C29H46O
44mzym_r,14-demethyllanosterol,C29H48O
46dhoxquin_c,"quinoline-4,6-diol",C9H7NO2
48dhoxquin_c,"quinoline-4,8-diol",C9H7NO2
4aabutn_c,4-acetamidobutanoate,C6H10NO3
4aabutn_m,4-acetamidobutanoate,C6H10NO3
4abut_c,gamma-aminobutyric acid,C4H9NO2
4abut_e,gamma-aminobutyric acid,C4H9NO2
4abut_l,gamma-aminobutyric acid,C4H9NO2
4abut_m,gamma-aminobutyric acid,C4H9NO2
4abut_n,gamma-aminobutyric acid,C4H9NO2
4abutn_c,4-ammoniobutanal,C4H10NO
4abutn_e,4-ammoniobutanal,C4H10NO
4abutn_m,4-ammoniobutanal,C4H10NO
4aphdob_c,"4-(2-aminophenyl)-2,4-dioxobutanoate",C10H8NO4
4fumacac_c,4-fumarylacetoacetate(2-),C8H6O6
4h2oglt_c,4-hydroxy-2-oxoglutarate(2-),C5H4O6
4h2oglt_m,4-hydroxy-2-oxoglutarate(2-),C5H4O6
4hbz_m,4-hydroxybenzoate,C7H5O3
4hbzcoa_m,4-hydroxybenoyl-CoA,C28H36N7O18P3S
4hdebrisoquine_c,4-hydroxydebrisoquin,C10H14N3O
4hdebrisoquine_e,4-hydroxydebrisoquin,C10H14N3O
4hexdtetcoa_m,"4,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
4hexdtetcoa_x,"4,7,10,13-hexadecatetraenoylcoa",C37H54N7O17P3S
4hexdtricoa_m,"4,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
4hexdtricoa_x,"4,7,10-hexadecatrienoylcoa",C37H56N7O17P3S
4hglusa_m,L-4-hydroxyglutamic semialdehyde,C5H9NO4
4hoxpacd_c,(4-hydroxyphenyl)acetaldehyde,C8H8O2
4hphac_c,4-hydroxyphenylacetate,C8H7O3
4hphac_e,4-hydroxyphenylacetate,C8H7O3
4hpro_LT_c,trans-4-hydroxy-L-proline,C5H9NO3
4hpro_LT_e,trans-4-hydroxy-L-proline,C5H9NO3
4hpro_LT_m,trans-4-hydroxy-L-proline,C5H9NO3
4hpro_LT_r,trans-4-hydroxy-L-proline,C5H9NO3
4izp_c,"5-(2-carboxylatoethyl)-4-oxo-4,5-dihydro-1H-imidazol-5-ide",C6H7N2O3
4mlacac_c,4-maleylacetoacetate,C8H6O6
4mop_c,4-methyl-2-oxopentanoate,C6H9O3
4mop_e,4-methyl-2-oxopentanoate,C6H9O3
4mop_m,4-methyl-2-oxopentanoate,C6H9O3
4mptnl_c,4-methylpentanal,C6H12O
4mptnl_e,4-methylpentanal,C6H12O
4mptnl_m,4-methylpentanal,C6H12O
4mptnl_r,4-methylpentanal,C6H12O
4mtolbutamide_c,4-hydroxytolbutamide,C12H18N2O4S
4mtolbutamide_e,4-hydroxytolbutamide,C12H18N2O4S
4mzym_int1_r,4beta-methylzymosterol-4alpha-carboxylic acid,C29H46O3
4mzym_int2_r,3-dehydro-4-methylzymosterol,C28H44O
4nph_c,4-nitrophenolate,C6H5NO3
4nph_e,4-nitrophenolate,C6H5NO3
4nphsf_c,4-nitrophenyl hydrogen sulfate,C6H4NO6S
4nphsf_e,4-nitrophenyl hydrogen sulfate,C6H4NO6S
4ppan_c,(R)-4'-phosphonatopantothenate(3-),C9H15NO8P
4ppan_m,(R)-4'-phosphonatopantothenate(3-),C9H15NO8P
4ppcys_c,N-[(R)-4-phosphonatopantothenoyl]-L-cysteinate(3-),C12H20N2O9PS
4ppcys_m,N-[(R)-4-phosphonatopantothenoyl]-L-cysteinate(3-),C12H20N2O9PS
4pyrdx_c,4-pyridoxate,C8H9NO4
4pyrdx_e,4-pyridoxate,C8H9NO4
4tmeabut_c,4-trimethylammoniobutanal,C7H16NO
4tmeabut_m,4-trimethylammoniobutanal,C7H16NO
4tmeabutn_c,4-(trimethylammonio)butanoate,C7H15NO2
56dihindlcrbxlt_c,"5,6-dihydroxyindole-2-carboxylate",C9H6NO4
56dthm_c,"5,6-dihydrothymine",C5H8N2O2
56dthm_m,"5,6-dihydrothymine",C5H8N2O2
56dura_c,"5,6-dihydrouracil",C4H6N2O2
5HPET_c,5(S)-HPETE(1-),C20H31O4
5HPET_r,5(S)-HPETE(1-),C20H31O4
5a2opntn_x,5-amino-2-oxopentanoic acid,C5H9NO3
5adtststerone_c,17beta-hydroxy-5alpha-androstan-3-one,C19H30O2
5adtststerone_e,17beta-hydroxy-5alpha-androstan-3-one,C19H30O2
5adtststerone_l,17beta-hydroxy-5alpha-androstan-3-one,C19H30O2
5adtststerone_m,17beta-hydroxy-5alpha-androstan-3-one,C19H30O2
5adtststerone_r,17beta-hydroxy-5alpha-androstan-3-one,C19H30O2
5adtststeroneglc_c,5alpha-Dihydrotestosterone glucuronide,C25H38O8
5adtststeroneglc_e,5alpha-Dihydrotestosterone glucuronide,C25H38O8
5adtststeroneglc_r,5alpha-Dihydrotestosterone glucuronide,C25H38O8
5adtststerones_c,5alpha-Dihydrotestosterone sulfate,C19H29O5S
5adtststerones_e,5alpha-Dihydrotestosterone sulfate,C19H29O5S
5adtststerones_l,5alpha-Dihydrotestosterone sulfate,C19H29O5S
5adtststerones_r,5alpha-Dihydrotestosterone sulfate,C19H29O5S
5aop_c,5-aminolevulinic acid,C5H9NO3
5aop_m,5-aminolevulinic acid,C5H9NO3
5dhf_c,pentaglutamyl folate (DHF),C39H43N11O18
5dhf_e,pentaglutamyl folate (DHF),C39H43N11O18
5dhf_l,pentaglutamyl folate (DHF),C39H43N11O18
5dhf_m,pentaglutamyl folate (DHF),C39H43N11O18
5dpmev_c,(R)-5-diphosphomevalonic acid,C6H10O10P2
5dpmev_x,(R)-5-diphosphomevalonic acid,C6H10O10P2
5forthf_c,5-formimidoyltetrahydrofolate(2-),C20H22N8O6
5fthf_c,(6S)-5-formyltetrahydrofolate(2-),C20H21N7O7
5fthf_e,(6S)-5-formyltetrahydrofolate(2-),C20H21N7O7
5fthf_m,(6S)-5-formyltetrahydrofolate(2-),C20H21N7O7
5g2oxpt_x,5-guanidino-2-oxopentanoic acid,C6H11N3O3
5homeprazole_c,5 hydroxy omeprazole,C17H19N3O4S
